,-1,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
0,-0.01625,0.03375,0.21125,-0.00625,-0.00625,0.1125,-0.01,-0.14875,-0.065,0.07625,0.1125,-0.06625,-0.0025,-0.045,0.08,-0.0025,0.15375,-0.0425,0.05875,-0.0825,0.0775,-0.07625,-0.195,0.06625,-0.0275,-0.04625,-0.05875,-0.035,-0.035,-0.09,-0.02125,0.0625,0.0425,0.005,0.11875,-0.04375,0.01375,-0.03125,-0.09125,-0.12375,-0.15875,0.0175,-0.0675,-0.1075,-0.04375,0.08,-0.19875,-0.0375,0.0575,0.07875,0.205,0.045,-0.05,-0.09375,-0.08375,-0.16875,0.05,0.03,0.01125,0.0475,0.2075,0.1075,0.2275,0.1025,-0.165,-0.11,0.11875,-0.005,0.0875,0.00625,-0.01375,-0.0725,0.00625,0.1175,-0.105,0.235,-0.1425,0.01875,0.14,-0.11,-0.16125,0.13875,0.0175,-0.07125,-0.26,-0.10875,-0.17875,0.09125,0.07625,0.05375,0.0475,0.04625,0.05375,-0.0125,-0.16,-0.1275,-0.14375,-0.11,-0.0475,-0.08625,-0.03375,0.0875,-0.00625,-0.0075,0.1325,0.0525,0.04625,-0.02125,0.12625,-0.0075,0.18375,-0.1475,-0.02375,-0.0625,-0.04375,0.1175,-0.045,-0.0675,0.07125,0.03125,0.1025,0.00125,0.0125,-0.0175,-0.05875,-0.06,0.02625,-0.02875,-0.22375
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00026406250000000003,0.0011390625,0.044626562499999994,3.906250000000001e-05,3.906250000000001e-05,0.01265625,0.0001,0.0221265625,0.0042250000000000005,0.0058140625,0.01265625,0.004389062500000001,6.25e-06,0.002025,0.0064,6.25e-06,0.0236390625,0.0018062500000000003,0.0034515624999999998,0.006806250000000001,0.00600625,0.0058140625,0.038025,0.004389062500000001,0.00075625,0.0021390625,0.0034515624999999998,0.0012250000000000002,0.0012250000000000002,0.0081,0.0004515625000000001,0.00390625,0.0018062500000000003,2.5e-05,0.0141015625,0.0019140624999999997,0.0001890625,0.0009765625,0.008326562499999999,0.0153140625,0.0252015625,0.00030625000000000004,0.00455625,0.011556249999999999,0.0019140624999999997,0.0064,0.039501562500000004,0.00140625,0.00330625,0.0062015625000000005,0.04202499999999999,0.002025,0.0025000000000000005,0.0087890625,0.007014062500000001,0.028476562500000004,0.0025000000000000005,0.0009,0.0001265625,0.00225625,0.04305625,0.011556249999999999,0.051756250000000004,0.010506249999999998,0.027225000000000003,0.0121,0.0141015625,2.5e-05,0.007656249999999999,3.906250000000001e-05,0.0001890625,0.00525625,3.906250000000001e-05,0.013806249999999999,0.011024999999999998,0.055224999999999996,0.020306249999999998,0.0003515625,0.019600000000000003,0.0121,0.026001562500000002,0.019251562500000003,0.00030625000000000004,0.0050765624999999995,0.06760000000000001,0.0118265625,0.031951562499999996,0.008326562499999999,0.0058140625,0.0028890624999999997,0.00225625,0.0021390625,0.0028890624999999997,0.00015625000000000003,0.0256,0.01625625,0.020664062499999997,0.0121,0.00225625,0.007439062499999999,0.0011390625,0.007656249999999999,3.906250000000001e-05,5.625e-05,0.017556250000000002,0.0027562499999999996,0.0021390625,0.0004515625000000001,0.0159390625,5.625e-05,0.0337640625,0.021756249999999998,0.0005640625,0.00390625,0.0019140624999999997,0.013806249999999999,0.002025,0.00455625,0.0050765624999999995,0.0009765625,0.010506249999999998,1.5625e-06,0.00015625000000000003,0.00030625000000000004,0.0034515624999999998,0.0036,0.0006890624999999999,0.0008265625,0.0500640625
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
