,-1,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
0,0.0125,0.0325,0.0025,0.02875,-0.0675,0.01125,-0.025,0.04,-0.055,-0.1175,0.00375,0.03125,-0.07875,0.0175,-0.04625,-0.005,0.07125,-0.20625,0.00875,-0.04625,0.06,-0.015,0.07625,0.0175,-0.00375,-0.01,0.085,-0.0125,0.06,-0.02,0.0175,0.03875,0.0375,0.09625,-0.11375,0.1025,-0.2175,-0.03625,0.03875,0.04625,-0.1325,0.1,-0.00875,0.05125,0.07125,-0.1525,-0.0075,-0.0375,-0.095,-0.09625,-0.02875,0.02125,-0.02125,-0.27625,0.11125,0.025,-0.0775,-0.065,-0.165,-0.09,0.03,-0.05125,-0.0425,0.0475,0.01625,-0.0375,0.03875,-0.0875,0.055,0.05125,-0.0525,0.06625,0.0625,0.0125,-0.02125,0.01,-0.04375,-0.14125,0.015,-0.0525,-0.1075,0.02,-0.13375,0.215,0.01875,-0.0225,0.06625,-0.01,0.04,-0.0175,0.1125,0.0025,-0.005,-0.12375,-0.145,0.05125,-0.0025,-0.09125,0.05625,0.08875,-0.11875,-0.11125,0.02375,0.05125,0.085,0.1425,0.03,0.00125,0.00375,-0.0175,0.0,-0.05,-0.0075,0.01625,-0.01625,-0.0625,0.02875,-0.11625,-0.08375,-0.03875,-0.06,-0.05,-0.02375,-0.00875,-0.0625,0.06875,0.07,0.0325,-0.03375
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00015625000000000003,0.0010562500000000001,6.25e-06,0.0008265625,0.00455625,0.0001265625,0.0006250000000000001,0.0016,0.003025,0.013806249999999999,1.40625e-05,0.0009765625,0.0062015625000000005,0.00030625000000000004,0.0021390625,2.5e-05,0.0050765624999999995,0.042539062499999995,7.656250000000001e-05,0.0021390625,0.0036,0.000225,0.0058140625,0.00030625000000000004,1.40625e-05,0.0001,0.007225000000000001,0.00015625000000000003,0.0036,0.0004,0.00030625000000000004,0.0015015625,0.00140625,0.0092640625,0.012939062500000001,0.010506249999999998,0.04730625,0.0013140625,0.0015015625,0.0021390625,0.017556250000000002,0.010000000000000002,7.656250000000001e-05,0.0026265624999999996,0.0050765624999999995,0.02325625,5.625e-05,0.00140625,0.009025,0.0092640625,0.0008265625,0.0004515625000000001,0.0004515625000000001,0.0763140625,0.0123765625,0.0006250000000000001,0.00600625,0.0042250000000000005,0.027225000000000003,0.0081,0.0009,0.0026265624999999996,0.0018062500000000003,0.00225625,0.00026406250000000003,0.00140625,0.0015015625,0.007656249999999999,0.003025,0.0026265624999999996,0.0027562499999999996,0.004389062500000001,0.00390625,0.00015625000000000003,0.0004515625000000001,0.0001,0.0019140624999999997,0.019951562499999995,0.000225,0.0027562499999999996,0.011556249999999999,0.0004,0.0178890625,0.046224999999999995,0.0003515625,0.00050625,0.004389062500000001,0.0001,0.0016,0.00030625000000000004,0.01265625,6.25e-06,2.5e-05,0.0153140625,0.021025,0.0026265624999999996,6.25e-06,0.008326562499999999,0.0031640625,0.0078765625,0.0141015625,0.0123765625,0.0005640625,0.0026265624999999996,0.007225000000000001,0.020306249999999998,0.0009,1.5625e-06,1.40625e-05,0.00030625000000000004,0.0,0.0025000000000000005,5.625e-05,0.00026406250000000003,0.00026406250000000003,0.00390625,0.0008265625,0.013514062500000002,0.007014062500000001,0.0015015625,0.0036,0.0025000000000000005,0.0005640625,7.656250000000001e-05,0.00390625,0.004726562500000001,0.004900000000000001,0.0010562500000000001,0.0011390625
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
