,-1,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
0,-0.02,0.05375,0.0175,0.1325,0.0975,-0.115,0.10375,-0.0775,-0.00375,-0.02,-0.16,0.1675,0.1425,-0.02375,0.25625,-0.18,0.165,0.16875,0.07625,-0.00875,-0.09375,-0.06375,-0.125,-0.24625,-0.1125,-0.05125,0.0025,-0.24,-0.06875,0.0825,0.08875,-0.115,-0.19875,0.40875,-0.03375,0.04,-0.15875,-0.385,-0.0025,-0.1975,0.105,0.17,0.20125,-0.04375,0.19625,-0.095,-0.2075,-0.04625,0.10625,0.07125,-0.1475,-0.02625,0.08,0.18,-0.0325,0.05125,-0.155,0.17625,-0.0725,-0.16375,0.17375,0.0775,-0.26125,-0.08625,-0.01,0.33,0.07125,-0.225,-0.09625,-0.105,-0.16125,-0.0325,0.1075,-0.175,-0.07875,-0.205,-0.18625,-0.28625,-0.1575,-0.1175,0.10625,-0.07,-0.1525,0.1225,0.1225,0.21625,0.26375,-0.09625,0.07375,-0.0875,-0.14125,0.15125,-0.1325,0.13625,0.1325,-0.13875,0.09625,-0.27125,0.20375,-0.27625,-0.12,-0.27625,-0.1275,0.0,0.00125,-0.14875,0.10375,0.24625,0.00375,0.16,-0.3025,0.1325,0.06375,0.16125,-0.40125,-0.2,-0.22375,-0.21125,0.13625,-0.015,-0.25375,-0.16375,0.2025,0.11875,0.01125,-0.03625,0.0,0.32125,0.13375
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0004,0.0028890624999999997,0.00030625000000000004,0.017556250000000002,0.00950625,0.013225,0.0107640625,0.00600625,1.40625e-05,0.0004,0.0256,0.028056250000000005,0.020306249999999998,0.0005640625,0.0656640625,0.0324,0.027225000000000003,0.028476562500000004,0.0058140625,7.656250000000001e-05,0.0087890625,0.0040640625,0.015625,0.0606390625,0.01265625,0.0026265624999999996,6.25e-06,0.0576,0.004726562500000001,0.006806250000000001,0.0078765625,0.013225,0.039501562500000004,0.1670765625,0.0011390625,0.0016,0.0252015625,0.148225,6.25e-06,0.039006250000000006,0.011024999999999998,0.028900000000000006,0.040501562500000005,0.0019140624999999997,0.0385140625,0.009025,0.04305625,0.0021390625,0.011289062499999999,0.0050765624999999995,0.021756249999999998,0.0006890624999999999,0.0064,0.0324,0.0010562500000000001,0.0026265624999999996,0.024025,0.031064062499999996,0.00525625,0.026814062500000003,0.030189062499999995,0.00600625,0.06825156249999999,0.007439062499999999,0.0001,0.10890000000000001,0.0050765624999999995,0.050625,0.0092640625,0.011024999999999998,0.026001562500000002,0.0010562500000000001,0.011556249999999999,0.030624999999999996,0.0062015625000000005,0.04202499999999999,0.0346890625,0.0819390625,0.024806250000000002,0.013806249999999999,0.011289062499999999,0.004900000000000001,0.02325625,0.015006249999999999,0.015006249999999999,0.0467640625,0.0695640625,0.0092640625,0.0054390624999999995,0.007656249999999999,0.019951562499999995,0.0228765625,0.017556250000000002,0.018564062500000002,0.017556250000000002,0.019251562500000003,0.0092640625,0.0735765625,0.0415140625,0.0763140625,0.0144,0.0763140625,0.01625625,0.0,1.5625e-06,0.0221265625,0.0107640625,0.0606390625,1.40625e-05,0.0256,0.09150625,0.017556250000000002,0.0040640625,0.026001562500000002,0.1610015625,0.04000000000000001,0.0500640625,0.044626562499999994,0.018564062500000002,0.000225,0.06438906249999998,0.026814062500000003,0.04100625000000001,0.0141015625,0.0001265625,0.0013140625,0.0,0.10320156249999998,0.0178890625
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
