,-1,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
0,-0.0425,0.98625,0.98375,0.9775,0.98375,0.9825,-0.98375,0.98375,0.9725,0.98875,0.99125,0.98375,-0.9925,-0.9875,-0.9825,-0.9825,0.9775,0.99,-0.9825,0.9825,0.98375,-0.98,-0.98125,0.98,-0.9875,0.98625,-0.9775,0.98875,0.98375,-0.97375,-0.99,0.98875,-0.98875,0.98875,-0.985,0.98125,0.98125,-0.98,0.98375,0.9875,-0.985,0.9825,-0.9925,0.9825,-0.97,0.985,0.98125,-0.96375,0.98125,0.985,-0.985,-0.99375,0.98625,0.995,-0.98625,0.9825,0.985,0.98125,0.98125,-0.98875,0.98375,0.97625,-0.9875,-0.9875,0.9775,-0.9925,-0.99,0.975,0.97875,0.98125,0.9825,0.98,-0.9775,-0.98125,0.98625,0.9925,0.9625,-0.98625,-0.98,-0.97375,-0.9775,0.98125,0.995,-0.985,-0.9875,0.98,0.9775,-0.975,-0.97875,-0.98125,0.9725,0.99625,-0.98375,0.985,0.9775,-0.98125,-0.98,-0.975,0.98125,0.98625,-0.9825,0.98375,-0.9875,0.98625,0.98,-0.98125,-0.98375,-0.9825,-0.97625,0.9775,-0.98625,0.99,-0.98625,0.9825,-0.98375,0.97625,-0.9875,0.985,0.97125,0.98,0.985,-0.97875,-0.98125,-0.98,0.97625,-0.9875,0.98375,0.98875,0.98375
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0018062500000000003,0.9726890624999999,0.9677640625,0.9555062500000001,0.9677640625,0.96530625,0.9677640625,0.9677640625,0.9457562500000001,0.9776265625,0.9825765624999999,0.9677640625,0.9850562500000001,0.9751562500000001,0.96530625,0.96530625,0.9555062500000001,0.9801,0.96530625,0.96530625,0.9677640625,0.9603999999999999,0.9628515624999999,0.9603999999999999,0.9751562500000001,0.9726890624999999,0.9555062500000001,0.9776265625,0.9677640625,0.9481890625,0.9801,0.9776265625,0.9776265625,0.9776265625,0.970225,0.9628515624999999,0.9628515624999999,0.9603999999999999,0.9677640625,0.9751562500000001,0.970225,0.96530625,0.9850562500000001,0.96530625,0.9409,0.970225,0.9628515624999999,0.9288140625,0.9628515624999999,0.970225,0.970225,0.9875390625,0.9726890624999999,0.990025,0.9726890624999999,0.96530625,0.970225,0.9628515624999999,0.9628515624999999,0.9776265625,0.9677640625,0.9530640624999999,0.9751562500000001,0.9751562500000001,0.9555062500000001,0.9850562500000001,0.9801,0.9506249999999999,0.9579515625,0.9628515624999999,0.96530625,0.9603999999999999,0.9555062500000001,0.9628515624999999,0.9726890624999999,0.9850562500000001,0.9264062500000001,0.9726890624999999,0.9603999999999999,0.9481890625,0.9555062500000001,0.9628515624999999,0.990025,0.970225,0.9751562500000001,0.9603999999999999,0.9555062500000001,0.9506249999999999,0.9579515625,0.9628515624999999,0.9457562500000001,0.9925140625,0.9677640625,0.970225,0.9555062500000001,0.9628515624999999,0.9603999999999999,0.9506249999999999,0.9628515624999999,0.9726890624999999,0.96530625,0.9677640625,0.9751562500000001,0.9726890624999999,0.9603999999999999,0.9628515624999999,0.9677640625,0.96530625,0.9530640624999999,0.9555062500000001,0.9726890624999999,0.9801,0.9726890624999999,0.96530625,0.9677640625,0.9530640624999999,0.9751562500000001,0.970225,0.9433265624999999,0.9603999999999999,0.970225,0.9579515625,0.9628515624999999,0.9603999999999999,0.9530640624999999,0.9751562500000001,0.9677640625,0.9776265625,0.9677640625
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
