,-1,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
0,0.035,0.1,0.0075,0.03875,-0.105,-0.0725,0.03125,-0.13875,0.00375,0.2,-0.1675,-0.045,-0.09625,0.03625,0.07625,0.1225,-0.015,-0.01,-0.02875,-0.045,0.2075,-0.1575,0.0625,0.12,0.145,-0.03125,-0.21,-0.10625,-0.08125,0.01625,-0.0925,-0.115,-0.22,0.17,0.015,-0.0125,-0.10375,-0.08875,-0.065,0.08625,-0.04125,-0.265,-0.0475,0.02,-0.01,0.0575,0.06125,-0.045,0.135,-0.11875,0.08375,0.07125,-0.14875,-0.0225,0.06,0.1675,0.16,0.1225,-0.03625,0.14375,-0.075,0.18375,0.09375,-0.15375,0.00875,0.315,-0.38375,-0.0125,-0.10625,-0.2,0.22,-0.0575,-0.10875,0.07375,0.00375,-0.1,-0.09125,-0.2325,0.0,0.165,-0.2675,-0.15,0.015,-0.07875,-0.07375,0.035,-0.05875,0.02625,0.08875,0.10375,-0.01875,0.07625,0.3675,-0.265,-0.0125,-0.0875,-0.11625,0.00875,0.04875,0.0525,0.13375,-0.075,0.05875,-0.01875,-0.09,0.02375,0.0975,-0.21125,-0.0175,0.18875,-0.1475,0.0725,-0.16125,-0.0875,-0.15375,0.055,0.195,0.02375,-0.15625,0.1175,0.025,0.09875,0.1,0.045,-0.05,-0.03375,-0.08125,-0.04,0.0925
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0012250000000000002,0.010000000000000002,5.625e-05,0.0015015625,0.011024999999999998,0.00525625,0.0009765625,0.019251562500000003,1.40625e-05,0.04000000000000001,0.028056250000000005,0.002025,0.0092640625,0.0013140625,0.0058140625,0.015006249999999999,0.000225,0.0001,0.0008265625,0.002025,0.04305625,0.024806250000000002,0.00390625,0.0144,0.021025,0.0009765625,0.04409999999999999,0.011289062499999999,0.006601562500000001,0.00026406250000000003,0.00855625,0.013225,0.0484,0.028900000000000006,0.000225,0.00015625000000000003,0.0107640625,0.0078765625,0.0042250000000000005,0.007439062499999999,0.0017015625000000002,0.07022500000000001,0.00225625,0.0004,0.0001,0.00330625,0.0037515624999999997,0.002025,0.018225,0.0141015625,0.007014062500000001,0.0050765624999999995,0.0221265625,0.00050625,0.0036,0.028056250000000005,0.0256,0.015006249999999999,0.0013140625,0.020664062499999997,0.005625,0.0337640625,0.0087890625,0.0236390625,7.656250000000001e-05,0.09922500000000001,0.1472640625,0.00015625000000000003,0.011289062499999999,0.04000000000000001,0.0484,0.00330625,0.0118265625,0.0054390624999999995,1.40625e-05,0.010000000000000002,0.008326562499999999,0.05405625000000001,0.0,0.027225000000000003,0.07155625,0.0225,0.000225,0.0062015625000000005,0.0054390624999999995,0.0012250000000000002,0.0034515624999999998,0.0006890624999999999,0.0078765625,0.0107640625,0.0003515625,0.0058140625,0.13505625,0.07022500000000001,0.00015625000000000003,0.007656249999999999,0.013514062500000002,7.656250000000001e-05,0.0023765625,0.0027562499999999996,0.0178890625,0.005625,0.0034515624999999998,0.0003515625,0.0081,0.0005640625,0.00950625,0.044626562499999994,0.00030625000000000004,0.0356265625,0.021756249999999998,0.00525625,0.026001562500000002,0.007656249999999999,0.0236390625,0.003025,0.038025,0.0005640625,0.0244140625,0.013806249999999999,0.0006250000000000001,0.009751562500000002,0.010000000000000002,0.002025,0.0025000000000000005,0.0011390625,0.006601562500000001,0.0016,0.00855625
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
