,-1,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767
0,0.02,-0.305,-0.535,-0.14,-0.48,0.335,-0.15,-0.295,-0.1,0.07,-0.525,-0.175,0.51,0.245,0.15,-0.18,-0.075,0.15,-0.075,0.205,-0.12,0.54,0.155,0.105,-0.32,-0.325,-0.19,-0.055,0.13,-0.005,0.37,0.49,0.025,-0.075,0.72,-0.31,0.28,0.185,0.335,0.02,0.03,-0.235,0.06,-0.11,-0.255,0.21,-0.055,0.335,0.015,0.49,0.27,0.17,-0.08,0.205,-0.325,0.19,0.5,0.31,0.325,0.51,0.09,0.44,0.015,-0.35,-0.185,0.21,0.29,-0.155,0.11,-0.435,-0.37,0.08,0.54,-0.41,0.11,-0.19,0.22,0.395,-0.32,-0.115,-0.005,0.11,0.06,-0.21,-0.495,0.21,0.52,-0.36,0.165,-0.28,0.065,0.335,0.085,0.335,-0.11,0.07,0.35,-0.3,-0.25,-0.415,0.12,-0.305,-0.105,-0.33,-0.615,-0.035,-0.225,0.255,-0.405,-0.26,0.15,0.0,0.27,-0.14,0.205,-0.535,-0.04,0.0,-0.3,0.08,0.115,0.555,-0.13,-0.545,-0.28,0.18,0.22,-0.08,-0.32,-0.11,0.645,0.34,0.02,-0.48,0.34,0.035,-0.17,-0.12,-0.01,-0.265,0.485,0.105,-0.08,-0.195,0.225,-0.175,0.625,0.14,-0.02,-0.28,0.09,0.36,0.125,0.22,0.5,0.295,-0.495,0.14,0.35,-0.045,0.29,0.06,0.41,0.05,0.24,0.565,0.225,0.6,-0.235,0.145,0.34,0.1,-0.535,0.26,-0.1,0.375,0.54,0.465,-0.305,-0.06,-0.155,0.14,0.72,-0.545,-0.28,-0.125,-0.11,0.225,0.05,0.245,-0.465,0.295,0.04,-0.015,0.35,-0.185,-0.155,-0.165,-0.35,-0.215,-0.425,-0.105,-0.125,0.03,-0.15,0.59,-0.05,-0.2,0.125,0.345,-0.125,0.095,0.6,-0.605,0.55,0.06,0.13,-0.135,0.16,-0.28,-0.25,0.095,-0.535,-0.22,0.675,-0.38,0.4,0.01,-0.04,0.25,-0.31,-0.555,0.395,-0.235,-0.055,0.05,0.16,-0.31,0.01,0.47,-0.075,-0.65,0.285,0.175,0.46,-0.305,0.525,-0.355,0.095,-0.025,-0.325,0.465,0.235,-0.02,0.205,0.51,-0.11,0.22,-0.165,-0.38,0.43,0.64,-0.495,0.035,0.005,-0.125,-0.26,-0.195,0.09,-0.19,0.23,0.035,0.485,0.475,-0.135,-0.02,0.465,-0.58,0.215,0.1,0.465,0.235,-0.3,-0.28,-0.34,0.165,0.08,-0.42,-0.255,0.17,0.14,0.355,-0.53,-0.26,-0.12,0.205,0.185,0.39,0.39,-0.18,-0.03,0.21,0.135,-0.035,0.485,-0.275,0.15,0.32,-0.365,0.235,0.57,0.435,0.37,0.1,0.175,0.055,-0.39,-0.005,0.215,0.26,0.04,-0.145,-0.365,0.11,-0.13,-0.17,-0.38,0.27,-0.325,0.42,-0.1,-0.16,-0.44,-0.265,0.2,0.035,0.485,-0.21,0.535,0.31,0.545,-0.235,0.02,0.55,0.035,-0.06,0.195,-0.405,-0.44,0.105,0.22,-0.06,-0.4,0.325,0.535,-0.145,0.38,-0.145,-0.345,-0.155,-0.23,-0.44,-0.025,-0.45,-0.465,-0.31,-0.03,-0.065,0.165,-0.105,0.42,0.035,-0.42,-0.125,-0.085,-0.21,-0.27,-0.26,-0.22,-0.485,-0.21,-0.05,0.44,-0.48,-0.015,0.185,-0.33,0.025,-0.155,0.375,-0.2,-0.345,0.445,0.005,-0.35,-0.445,-0.405,-0.69,-0.195,0.495,0.25,0.17,0.135,-0.225,-0.13,0.25,-0.7,0.19,-0.28,0.0,0.19,-0.27,0.355,-0.31,0.355,-0.175,-0.405,-0.295,0.235,0.41,0.01,0.41,-0.485,-0.085,0.1,0.345,-0.37,-0.49,0.285,0.045,-0.485,-0.365,0.595,-0.335,0.025,0.075,0.15,-0.085,-0.355,0.185,0.335,-0.17,0.01,-0.265,0.495,-0.035,0.045,0.365,-0.245,0.17,0.37,0.38,-0.495,-0.175,0.615,0.485,0.18,0.21,-0.32,0.025,0.71,-0.585,0.16,0.045,0.205,0.02,0.245,-0.02,0.445,0.005,0.025,0.43,0.315,0.175,0.005,0.58,-0.505,-0.275,0.005,0.085,0.56,-0.25,-0.115,-0.205,0.215,-0.09,0.285,-0.555,0.38,0.57,0.1,-0.59,0.565,0.05,-0.28,-0.385,-0.355,-0.58,-0.26,0.01,-0.155,0.17,-0.44,-0.55,0.21,-0.315,0.22,0.14,0.325,0.115,0.305,-0.175,0.215
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0004,0.093025,0.286225,0.019600000000000003,0.2304,0.11222500000000002,0.0225,0.08702499999999999,0.010000000000000002,0.004900000000000001,0.275625,0.030624999999999996,0.2601,0.060024999999999995,0.0225,0.0324,0.005625,0.0225,0.005625,0.04202499999999999,0.0144,0.2916,0.024025,0.011024999999999998,0.1024,0.10562500000000001,0.0361,0.003025,0.016900000000000002,2.5e-05,0.1369,0.24009999999999998,0.0006250000000000001,0.005625,0.5184,0.0961,0.07840000000000001,0.034225,0.11222500000000002,0.0004,0.0009,0.055224999999999996,0.0036,0.0121,0.065025,0.04409999999999999,0.003025,0.11222500000000002,0.000225,0.24009999999999998,0.0729,0.028900000000000006,0.0064,0.04202499999999999,0.10562500000000001,0.0361,0.25,0.0961,0.10562500000000001,0.2601,0.0081,0.1936,0.000225,0.12249999999999998,0.034225,0.04409999999999999,0.0841,0.024025,0.0121,0.189225,0.1369,0.0064,0.2916,0.16809999999999997,0.0121,0.0361,0.0484,0.15602500000000002,0.1024,0.013225,2.5e-05,0.0121,0.0036,0.04409999999999999,0.245025,0.04409999999999999,0.27040000000000003,0.1296,0.027225000000000003,0.07840000000000001,0.0042250000000000005,0.11222500000000002,0.007225000000000001,0.11222500000000002,0.0121,0.004900000000000001,0.12249999999999998,0.09,0.0625,0.172225,0.0144,0.093025,0.011024999999999998,0.10890000000000001,0.378225,0.0012250000000000002,0.050625,0.065025,0.16402500000000003,0.06760000000000001,0.0225,0.0,0.0729,0.019600000000000003,0.04202499999999999,0.286225,0.0016,0.0,0.09,0.0064,0.013225,0.30802500000000005,0.016900000000000002,0.29702500000000004,0.07840000000000001,0.0324,0.0484,0.0064,0.1024,0.0121,0.41602500000000003,0.11560000000000002,0.0004,0.2304,0.11560000000000002,0.0012250000000000002,0.028900000000000006,0.0144,0.0001,0.07022500000000001,0.235225,0.011024999999999998,0.0064,0.038025,0.050625,0.030624999999999996,0.390625,0.019600000000000003,0.0004,0.07840000000000001,0.0081,0.1296,0.015625,0.0484,0.25,0.08702499999999999,0.245025,0.019600000000000003,0.12249999999999998,0.002025,0.0841,0.0036,0.16809999999999997,0.0025000000000000005,0.0576,0.3192249999999999,0.050625,0.36,0.055224999999999996,0.021025,0.11560000000000002,0.010000000000000002,0.286225,0.06760000000000001,0.010000000000000002,0.140625,0.2916,0.21622500000000003,0.093025,0.0036,0.024025,0.019600000000000003,0.5184,0.29702500000000004,0.07840000000000001,0.015625,0.0121,0.050625,0.0025000000000000005,0.060024999999999995,0.21622500000000003,0.08702499999999999,0.0016,0.000225,0.12249999999999998,0.034225,0.024025,0.027225000000000003,0.12249999999999998,0.046224999999999995,0.18062499999999998,0.011024999999999998,0.015625,0.0009,0.0225,0.34809999999999997,0.0025000000000000005,0.04000000000000001,0.015625,0.11902499999999998,0.015625,0.009025,0.36,0.366025,0.30250000000000005,0.0036,0.016900000000000002,0.018225,0.0256,0.07840000000000001,0.0625,0.009025,0.286225,0.0484,0.45562500000000006,0.1444,0.16000000000000003,0.0001,0.0016,0.0625,0.0961,0.30802500000000005,0.15602500000000002,0.055224999999999996,0.003025,0.0025000000000000005,0.0256,0.0961,0.0001,0.22089999999999999,0.005625,0.42250000000000004,0.08122499999999999,0.030624999999999996,0.2116,0.093025,0.275625,0.126025,0.009025,0.0006250000000000001,0.10562500000000001,0.21622500000000003,0.055224999999999996,0.0004,0.04202499999999999,0.2601,0.0121,0.0484,0.027225000000000003,0.1444,0.18489999999999998,0.4096,0.245025,0.0012250000000000002,2.5e-05,0.015625,0.06760000000000001,0.038025,0.0081,0.0361,0.0529,0.0012250000000000002,0.235225,0.225625,0.018225,0.0004,0.21622500000000003,0.3364,0.046224999999999995,0.010000000000000002,0.21622500000000003,0.055224999999999996,0.09,0.07840000000000001,0.11560000000000002,0.027225000000000003,0.0064,0.17639999999999997,0.065025,0.028900000000000006,0.019600000000000003,0.126025,0.28090000000000004,0.06760000000000001,0.0144,0.04202499999999999,0.034225,0.1521,0.1521,0.0324,0.0009,0.04409999999999999,0.018225,0.0012250000000000002,0.235225,0.07562500000000001,0.0225,0.1024,0.13322499999999998,0.055224999999999996,0.32489999999999997,0.189225,0.1369,0.010000000000000002,0.030624999999999996,0.003025,0.1521,2.5e-05,0.046224999999999995,0.06760000000000001,0.0016,0.021025,0.13322499999999998,0.0121,0.016900000000000002,0.028900000000000006,0.1444,0.0729,0.10562500000000001,0.17639999999999997,0.010000000000000002,0.0256,0.1936,0.07022500000000001,0.04000000000000001,0.0012250000000000002,0.235225,0.04409999999999999,0.286225,0.0961,0.29702500000000004,0.055224999999999996,0.0004,0.30250000000000005,0.0012250000000000002,0.0036,0.038025,0.16402500000000003,0.1936,0.011024999999999998,0.0484,0.0036,0.16000000000000003,0.10562500000000001,0.286225,0.021025,0.1444,0.021025,0.11902499999999998,0.024025,0.0529,0.1936,0.0006250000000000001,0.2025,0.21622500000000003,0.0961,0.0009,0.0042250000000000005,0.027225000000000003,0.011024999999999998,0.17639999999999997,0.0012250000000000002,0.17639999999999997,0.015625,0.007225000000000001,0.04409999999999999,0.0729,0.06760000000000001,0.0484,0.235225,0.04409999999999999,0.0025000000000000005,0.1936,0.2304,0.000225,0.034225,0.10890000000000001,0.0006250000000000001,0.024025,0.140625,0.04000000000000001,0.11902499999999998,0.198025,2.5e-05,0.12249999999999998,0.198025,0.16402500000000003,0.4760999999999999,0.038025,0.245025,0.0625,0.028900000000000006,0.018225,0.050625,0.016900000000000002,0.0625,0.48999999999999994,0.0361,0.07840000000000001,0.0,0.0361,0.0729,0.126025,0.0961,0.126025,0.030624999999999996,0.16402500000000003,0.08702499999999999,0.055224999999999996,0.16809999999999997,0.0001,0.16809999999999997,0.235225,0.007225000000000001,0.010000000000000002,0.11902499999999998,0.1369,0.24009999999999998,0.08122499999999999,0.002025,0.235225,0.13322499999999998,0.354025,0.11222500000000002,0.0006250000000000001,0.005625,0.0225,0.007225000000000001,0.126025,0.034225,0.11222500000000002,0.028900000000000006,0.0001,0.07022500000000001,0.245025,0.0012250000000000002,0.002025,0.13322499999999998,0.060024999999999995,0.028900000000000006,0.1369,0.1444,0.245025,0.030624999999999996,0.378225,0.235225,0.0324,0.04409999999999999,0.1024,0.0006250000000000001,0.5041,0.34222499999999995,0.0256,0.002025,0.04202499999999999,0.0004,0.060024999999999995,0.0004,0.198025,2.5e-05,0.0006250000000000001,0.18489999999999998,0.09922500000000001,0.030624999999999996,2.5e-05,0.3364,0.255025,0.07562500000000001,2.5e-05,0.007225000000000001,0.31360000000000005,0.0625,0.013225,0.04202499999999999,0.046224999999999995,0.0081,0.08122499999999999,0.30802500000000005,0.1444,0.32489999999999997,0.010000000000000002,0.34809999999999997,0.3192249999999999,0.0025000000000000005,0.07840000000000001,0.148225,0.126025,0.3364,0.06760000000000001,0.0001,0.024025,0.028900000000000006,0.1936,0.30250000000000005,0.04409999999999999,0.09922500000000001,0.0484,0.019600000000000003,0.10562500000000001,0.013225,0.093025,0.030624999999999996,0.046224999999999995
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
