,-1,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767
0,0.02,-0.395,-0.355,-0.73,-0.645,-0.065,0.52,-0.455,0.435,0.845,0.09,0.645,-0.685,-0.015,-0.065,0.12,0.52,-0.56,-0.75,0.645,0.365,0.375,0.05,0.525,-0.14,-0.185,0.455,0.575,0.37,0.495,-0.64,-0.64,0.505,0.745,0.0,-0.715,-0.615,-0.59,-0.755,-0.775,-0.545,0.795,0.56,0.325,-0.745,0.75,-0.565,-0.735,-0.16,0.66,0.03,-0.7,-0.645,0.21,0.255,0.07,-0.8,0.32,0.355,0.69,0.615,-0.635,-0.66,-0.415,-0.3,0.3,-0.675,-0.155,-0.63,0.43,0.21,-0.55,0.125,-0.67,0.505,-0.095,0.605,0.47,-0.7,-0.42,0.77,0.245,0.01,-0.525,0.425,0.6,-0.045,0.7,0.775,-0.05,-0.635,0.67,0.305,-0.68,-0.32,0.03,0.455,-0.23,0.49,0.43,-0.175,-0.25,-0.605,-0.785,-0.805,-0.635,0.24,0.035,-0.52,-0.58,0.28,0.055,0.215,0.135,-0.72,-0.28,0.41,0.43,-0.755,-0.395,-0.58,0.52,0.565,0.68,0.63,-0.45,-0.23,-0.52,0.4,0.73,-0.67,-0.25,-0.69,0.16,0.715,0.62,-0.13,-0.565,0.305,-0.095,-0.3,0.685,0.04,0.645,0.205,0.595,-0.155,0.37,0.165,-0.54,0.28,0.515,-0.25,0.47,0.175,0.205,0.505,0.57,-0.3,-0.795,0.165,-0.7,0.385,0.045,-0.83,-0.105,0.295,0.13,0.795,-0.155,-0.43,-0.735,0.28,-0.39,0.685,-0.605,0.745,0.48,0.555,0.415,-0.25,-0.38,0.33,-0.42,0.165,0.07,-0.35,0.115,-0.515,0.185,0.5,-0.42,-0.625,0.645,0.395,0.18,0.305,-0.165,0.445,0.615,0.85,0.64,0.35,0.48,-0.625,-0.185,0.51,0.6,0.655,0.77,0.645,0.385,-0.395,-0.565,0.73,0.56,-0.21,0.635,0.705,-0.47,-0.67,-0.43,0.525,-0.65,0.685,0.655,0.515,-0.67,-0.26,0.585,-0.65,0.095,0.605,0.45,0.635,-0.49,-0.275,0.69,-0.795,0.275,-0.575,0.33,-0.315,0.605,-0.585,-0.01,-0.36,0.57,0.435,-0.805,0.64,0.675,0.31,-0.445,-0.89,-0.17,0.6,-0.445,0.36,0.285,0.345,0.71,0.03,0.815,0.785,0.605,0.64,-0.665,-0.77,0.18,-0.77,0.545,-0.44,0.415,0.615,0.62,0.32,0.655,-0.875,0.05,0.75,-0.735,-0.495,0.505,-0.635,-0.82,-0.81,0.03,-0.555,-0.19,0.19,0.295,-0.255,-0.255,-0.84,-0.635,-0.24,-0.19,-0.245,0.675,0.43,0.535,0.49,-0.445,0.16,-0.715,-0.715,-0.245,0.495,-0.3,-0.645,0.495,-0.225,0.76,0.585,-0.71,-0.56,0.55,-0.39,0.54,-0.41,-0.025,-0.78,0.375,-0.54,0.695,-0.64,-0.435,-0.655,-0.825,0.27,-0.68,-0.605,0.02,-0.69,0.575,-0.29,0.84,0.58,0.575,0.785,0.7,0.04,-0.52,0.795,-0.245,0.79,0.13,0.38,0.4,-0.045,0.65,0.205,-0.81,0.85,-0.46,0.505,0.395,0.73,0.505,-0.48,-0.71,0.525,-0.695,-0.535,0.115,-0.785,-0.6,-0.02,0.13,-0.765,-0.35,-0.46,-0.38,0.255,-0.54,0.355,-0.44,0.245,-0.365,0.115,0.16,-0.785,-0.755,0.41,0.485,0.305,-0.29,-0.31,0.32,0.66,-0.765,-0.455,-0.545,0.78,-0.5,-0.515,-0.825,0.305,0.485,0.565,-0.325,-0.08,0.78,0.61,0.59,0.56,0.64,-0.44,-0.34,-0.415,0.37,-0.69,-0.43,-0.065,-0.26,0.785,0.73,-0.675,-0.185,0.51,-0.6,-0.39,0.465,-0.41,-0.225,0.445,0.09,-0.55,0.48,-0.775,0.1,0.095,-0.03,-0.705,0.13,-0.635,-0.54,0.665,-0.215,0.22,0.44,0.71,-0.635,-0.135,0.59,-0.49,-0.54,-0.49,0.435,0.45,0.02,-0.575,-0.185,0.15,-0.635,0.74,0.69,-0.545,0.485,0.725,-0.345,-0.535,-0.415,-0.69,-0.715,-0.595,-0.705,-0.15,-0.135,-0.64,0.605,-0.635,-0.055,0.575,-0.685,0.355,-0.145,-0.05,0.18,-0.85,0.32,0.675,-0.69,0.02,-0.095,-0.735,0.785,-0.47,0.485,0.485,-0.58,-0.11,0.745,-0.335,0.25,-0.5,0.6,-0.04,-0.66,-0.505,0.015,0.265,0.105,-0.175,0.6,-0.705,-0.35,0.495,-0.675,-0.75,0.4,0.095
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0004,0.15602500000000002,0.126025,0.5328999999999999,0.41602500000000003,0.0042250000000000005,0.27040000000000003,0.20702500000000001,0.189225,0.7140249999999999,0.0081,0.41602500000000003,0.46922500000000006,0.000225,0.0042250000000000005,0.0144,0.27040000000000003,0.31360000000000005,0.5625,0.41602500000000003,0.13322499999999998,0.140625,0.0025000000000000005,0.275625,0.019600000000000003,0.034225,0.20702500000000001,0.33062499999999995,0.1369,0.245025,0.4096,0.4096,0.255025,0.555025,0.0,0.5112249999999999,0.378225,0.34809999999999997,0.570025,0.6006250000000001,0.29702500000000004,0.6320250000000001,0.31360000000000005,0.10562500000000001,0.555025,0.5625,0.3192249999999999,0.540225,0.0256,0.43560000000000004,0.0009,0.48999999999999994,0.41602500000000003,0.04409999999999999,0.065025,0.004900000000000001,0.6400000000000001,0.1024,0.126025,0.4760999999999999,0.378225,0.403225,0.43560000000000004,0.172225,0.09,0.09,0.45562500000000006,0.024025,0.39690000000000003,0.18489999999999998,0.04409999999999999,0.30250000000000005,0.015625,0.4489000000000001,0.255025,0.009025,0.366025,0.22089999999999999,0.48999999999999994,0.17639999999999997,0.5929,0.060024999999999995,0.0001,0.275625,0.18062499999999998,0.36,0.002025,0.48999999999999994,0.6006250000000001,0.0025000000000000005,0.403225,0.4489000000000001,0.093025,0.4624000000000001,0.1024,0.0009,0.20702500000000001,0.0529,0.24009999999999998,0.18489999999999998,0.030624999999999996,0.0625,0.366025,0.616225,0.6480250000000001,0.403225,0.0576,0.0012250000000000002,0.27040000000000003,0.3364,0.07840000000000001,0.003025,0.046224999999999995,0.018225,0.5184,0.07840000000000001,0.16809999999999997,0.18489999999999998,0.570025,0.15602500000000002,0.3364,0.27040000000000003,0.3192249999999999,0.4624000000000001,0.39690000000000003,0.2025,0.0529,0.27040000000000003,0.16000000000000003,0.5328999999999999,0.4489000000000001,0.0625,0.4760999999999999,0.0256,0.5112249999999999,0.3844,0.016900000000000002,0.3192249999999999,0.093025,0.009025,0.09,0.46922500000000006,0.0016,0.41602500000000003,0.04202499999999999,0.354025,0.024025,0.1369,0.027225000000000003,0.2916,0.07840000000000001,0.265225,0.0625,0.22089999999999999,0.030624999999999996,0.04202499999999999,0.255025,0.32489999999999997,0.09,0.6320250000000001,0.027225000000000003,0.48999999999999994,0.148225,0.002025,0.6889,0.011024999999999998,0.08702499999999999,0.016900000000000002,0.6320250000000001,0.024025,0.18489999999999998,0.540225,0.07840000000000001,0.1521,0.46922500000000006,0.366025,0.555025,0.2304,0.30802500000000005,0.172225,0.0625,0.1444,0.10890000000000001,0.17639999999999997,0.027225000000000003,0.004900000000000001,0.12249999999999998,0.013225,0.265225,0.034225,0.25,0.17639999999999997,0.390625,0.41602500000000003,0.15602500000000002,0.0324,0.093025,0.027225000000000003,0.198025,0.378225,0.7224999999999999,0.4096,0.12249999999999998,0.2304,0.390625,0.034225,0.2601,0.36,0.42902500000000005,0.5929,0.41602500000000003,0.148225,0.15602500000000002,0.3192249999999999,0.5328999999999999,0.31360000000000005,0.04409999999999999,0.403225,0.49702499999999994,0.22089999999999999,0.4489000000000001,0.18489999999999998,0.275625,0.42250000000000004,0.46922500000000006,0.42902500000000005,0.265225,0.4489000000000001,0.06760000000000001,0.34222499999999995,0.42250000000000004,0.009025,0.366025,0.2025,0.403225,0.24009999999999998,0.07562500000000001,0.4760999999999999,0.6320250000000001,0.07562500000000001,0.33062499999999995,0.10890000000000001,0.09922500000000001,0.366025,0.34222499999999995,0.0001,0.1296,0.32489999999999997,0.189225,0.6480250000000001,0.4096,0.45562500000000006,0.0961,0.198025,0.7921,0.028900000000000006,0.36,0.198025,0.1296,0.08122499999999999,0.11902499999999998,0.5041,0.0009,0.664225,0.616225,0.366025,0.4096,0.44222500000000003,0.5929,0.0324,0.5929,0.29702500000000004,0.1936,0.172225,0.378225,0.3844,0.1024,0.42902500000000005,0.765625,0.0025000000000000005,0.5625,0.540225,0.245025,0.255025,0.403225,0.6723999999999999,0.6561000000000001,0.0009,0.30802500000000005,0.0361,0.0361,0.08702499999999999,0.065025,0.065025,0.7055999999999999,0.403225,0.0576,0.0361,0.060024999999999995,0.45562500000000006,0.18489999999999998,0.286225,0.24009999999999998,0.198025,0.0256,0.5112249999999999,0.5112249999999999,0.060024999999999995,0.245025,0.09,0.41602500000000003,0.245025,0.050625,0.5776,0.34222499999999995,0.5041,0.31360000000000005,0.30250000000000005,0.1521,0.2916,0.16809999999999997,0.0006250000000000001,0.6084,0.140625,0.2916,0.4830249999999999,0.4096,0.189225,0.42902500000000005,0.6806249999999999,0.0729,0.4624000000000001,0.366025,0.0004,0.4760999999999999,0.33062499999999995,0.0841,0.7055999999999999,0.3364,0.33062499999999995,0.616225,0.48999999999999994,0.0016,0.27040000000000003,0.6320250000000001,0.060024999999999995,0.6241000000000001,0.016900000000000002,0.1444,0.16000000000000003,0.002025,0.42250000000000004,0.04202499999999999,0.6561000000000001,0.7224999999999999,0.2116,0.255025,0.15602500000000002,0.5328999999999999,0.255025,0.2304,0.5041,0.275625,0.4830249999999999,0.286225,0.013225,0.616225,0.36,0.0004,0.016900000000000002,0.585225,0.12249999999999998,0.2116,0.1444,0.065025,0.2916,0.126025,0.1936,0.060024999999999995,0.13322499999999998,0.013225,0.0256,0.616225,0.570025,0.16809999999999997,0.235225,0.093025,0.0841,0.0961,0.1024,0.43560000000000004,0.585225,0.20702500000000001,0.29702500000000004,0.6084,0.25,0.265225,0.6806249999999999,0.093025,0.235225,0.3192249999999999,0.10562500000000001,0.0064,0.6084,0.3721,0.34809999999999997,0.31360000000000005,0.4096,0.1936,0.11560000000000002,0.172225,0.1369,0.4760999999999999,0.18489999999999998,0.0042250000000000005,0.06760000000000001,0.616225,0.5328999999999999,0.45562500000000006,0.034225,0.2601,0.36,0.1521,0.21622500000000003,0.16809999999999997,0.050625,0.198025,0.0081,0.30250000000000005,0.2304,0.6006250000000001,0.010000000000000002,0.009025,0.0009,0.49702499999999994,0.016900000000000002,0.403225,0.2916,0.44222500000000003,0.046224999999999995,0.0484,0.1936,0.5041,0.403225,0.018225,0.34809999999999997,0.24009999999999998,0.2916,0.24009999999999998,0.189225,0.2025,0.0004,0.33062499999999995,0.034225,0.0225,0.403225,0.5476,0.4760999999999999,0.29702500000000004,0.235225,0.525625,0.11902499999999998,0.286225,0.172225,0.4760999999999999,0.5112249999999999,0.354025,0.49702499999999994,0.0225,0.018225,0.4096,0.366025,0.403225,0.003025,0.33062499999999995,0.46922500000000006,0.126025,0.021025,0.0025000000000000005,0.0324,0.7224999999999999,0.1024,0.45562500000000006,0.4760999999999999,0.0004,0.009025,0.540225,0.616225,0.22089999999999999,0.235225,0.235225,0.3364,0.0121,0.555025,0.11222500000000002,0.0625,0.25,0.36,0.0016,0.43560000000000004,0.255025,0.000225,0.07022500000000001,0.011024999999999998,0.030624999999999996,0.36,0.49702499999999994,0.12249999999999998,0.245025,0.45562500000000006,0.5625,0.16000000000000003,0.009025
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
